,Bastiglia,Bomporto,Campogalliano,Camposanto,Carpi,Castelfranco E.,Castelnuovo R.,Castelvetro,Cavezzo,Concordia,Fanano,Finale Emilia,Fiorano M.,Fiumalbo,Formigine,Frassinoro,Guiglia,Lama Mocogno,Maranello,Marano,Medolla,Mirandola,Modena,Montecreto,Montefiorino,Montese,Nonantola,Novi,Palagano,Pavullo,Pievepelago,Prignano,Polinago,Ravarino,Riolunato,San Cesario S/P,San Felice S/P,San Possidonio,San Prospero,Sassuolo,Savignano S/P,Serramazzoni,Sestola,Soliera,Spilamberto,Vignola,Zocca,Fuori provincia,TOTALE
2020-11-25,2,2,5,0,15,13,10,5,0,2,1,8,4,0,11,0,0,0,10,0,1,4,37,0,2,2,3,2,1,22,3,1,0,1,4,2,3,2,0,13,10,5,6,6,5,16,0,11,250
2020-11-26,2,0,1,1,10,7,7,2,0,1,2,8,8,0,6,0,2,1,6,0,0,7,81,0,1,1,5,0,1,22,1,2,0,2,3,1,4,0,1,18,4,5,7,0,0,8,0,7,245
2020-11-27,3,9,10,4,47,33,15,15,4,6,1,16,14,0,13,0,4,0,6,4,0,12,143,0,2,4,12,4,0,14,1,7,0,6,1,2,9,2,3,27,6,8,4,13,7,30,3,14,538
2020-11-28,2,6,4,4,20,23,13,8,6,4,0,10,9,2,15,1,1,3,11,1,0,14,101,1,0,2,11,1,0,14,2,0,0,6,0,6,3,0,1,14,4,6,3,3,4,15,1,9,364
2020-11-29,1,0,6,0,51,5,18,8,1,3,0,18,18,0,11,0,1,0,3,4,0,14,114,0,0,4,4,4,0,4,0,2,0,1,1,0,7,2,2,22,8,0,0,9,7,31,2,18,404
2020-11-30,1,5,3,0,28,29,6,2,0,3,1,2,15,0,27,0,2,4,8,4,2,31,123,2,1,2,12,2,0,34,0,3,3,6,3,5,2,0,1,25,1,10,4,34,3,13,4,5,471
2020-12-01,1,6,5,0,19,29,8,0,0,2,1,5,8,0,9,0,0,0,5,3,1,15,107,3,1,1,14,3,1,15,0,2,1,3,0,17,4,1,2,18,1,7,4,8,2,8,2,10,352
2020-12-02,0,7,1,0,22,7,5,4,2,0,0,5,2,0,4,0,0,0,2,0,1,10,41,0,2,2,0,1,1,2,0,0,0,2,0,4,1,3,1,15,5,2,0,8,3,9,4,14,192
2020-12-03,1,8,2,0,26,15,8,2,2,1,0,9,12,0,16,1,1,0,9,1,0,8,51,0,1,1,3,0,3,14,1,0,0,2,1,7,7,0,2,24,2,4,2,6,7,8,0,9,277
2020-12-04,1,6,10,1,32,18,11,3,3,4,0,12,24,0,37,0,2,1,17,5,1,13,128,2,1,3,7,4,1,21,0,5,1,5,1,7,8,3,1,23,5,14,1,13,8,11,3,12,489
2020-12-05,6,2,3,0,37,13,10,4,0,1,0,12,19,0,14,0,0,1,20,2,2,13,114,1,0,1,5,5,0,20,0,1,0,2,0,2,8,0,3,25,3,8,1,9,9,11,0,8,395
2020-12-06,0,6,5,2,33,13,10,8,1,2,1,15,6,0,17,0,2,1,7,6,0,16,77,0,2,1,20,1,0,9,0,1,0,6,0,9,7,2,5,16,6,6,1,4,2,6,3,9,344
2020-12-07,4,7,2,2,38,17,15,5,3,7,0,16,13,0,20,0,1,0,6,1,1,12,112,1,1,1,13,1,2,13,0,3,0,1,0,8,9,3,1,37,4,4,2,7,7,10,3,1,414
2020-12-08,1,4,5,0,26,28,13,18,0,3,0,8,9,0,9,0,2,1,5,2,1,11,107,0,0,1,11,5,1,6,0,0,0,4,0,2,3,2,0,12,5,9,2,16,7,7,1,3,351
2020-12-09,1,1,0,0,12,1,6,6,0,0,0,0,4,0,2,0,0,0,1,0,0,5,30,0,1,0,2,1,0,3,0,1,0,2,0,1,0,0,3,4,0,2,0,5,1,0,0,1,96
2020-12-10,1,1,1,4,25,5,8,7,2,3,0,6,7,1,15,0,0,1,6,0,1,26,65,0,1,1,2,1,0,14,1,4,0,0,0,2,8,0,0,18,1,4,3,9,2,10,1,16,283
2020-12-11,2,0,1,0,7,9,9,0,1,2,0,5,3,0,8,0,2,1,1,2,0,3,26,0,0,0,1,0,0,3,1,0,0,0,0,3,2,0,2,5,2,1,0,2,1,2,1,4,112
2020-12-12,5,10,8,0,32,32,10,3,3,4,2,11,14,0,14,0,0,3,7,2,0,12,98,0,1,2,9,0,1,20,0,2,0,0,0,4,6,2,3,25,4,6,5,4,8,5,1,14,392
2020-12-13,5,1,4,1,26,18,11,8,5,8,2,12,6,0,7,0,2,0,4,9,3,22,113,1,0,2,21,1,3,11,1,1,0,2,0,7,9,4,3,16,5,6,2,18,12,24,0,13,429
2020-12-14,1,2,2,0,32,14,5,0,1,2,0,5,10,0,17,0,1,0,6,0,0,10,120,1,0,0,3,2,0,5,2,0,0,2,2,2,5,3,0,27,0,6,1,15,1,7,0,18,330
2020-12-15,3,1,1,0,27,14,7,1,4,2,0,7,2,0,7,0,1,1,4,4,2,9,74,0,0,0,7,1,0,9,0,1,0,4,0,3,3,0,0,5,0,2,0,12,2,12,0,5,237
2020-12-16,0,0,1,1,19,9,3,3,1,3,1,6,3,0,4,0,0,0,0,0,2,6,40,0,2,1,4,0,0,4,0,0,0,3,0,1,3,1,2,12,0,1,0,3,1,3,0,5,148
2020-12-17,4,1,0,0,24,8,5,5,1,3,0,13,7,0,12,0,1,0,10,3,3,6,60,0,1,0,5,1,1,9,1,2,0,1,0,0,5,0,3,27,1,6,0,6,2,13,0,7,257
2020-12-18,2,6,10,0,27,27,10,7,4,10,1,7,12,0,15,0,3,0,2,6,3,10,99,0,0,0,7,3,1,14,0,1,0,0,0,5,10,4,2,10,9,2,0,10,9,26,2,5,381
2020-12-19,3,1,1,3,17,12,2,2,6,2,1,6,7,1,24,0,2,0,4,1,6,13,76,0,1,1,0,3,1,7,0,1,0,2,0,0,4,1,0,31,2,4,0,5,4,3,1,8,269
2020-12-20,0,10,1,1,25,9,6,4,5,6,0,3,11,0,13,1,1,1,2,0,3,4,64,0,1,0,7,4,0,4,1,2,1,1,0,1,6,1,3,24,5,1,0,13,3,2,5,6,261
2020-12-21,0,2,0,5,17,14,3,7,3,6,0,10,4,0,11,1,1,0,2,4,3,16,67,0,0,0,11,4,0,5,0,1,2,1,0,7,10,0,1,13,3,1,0,5,5,9,0,5,259
2020-12-22,0,0,2,0,12,7,6,2,2,3,2,1,1,0,3,0,2,1,1,0,0,4,47,0,0,1,1,3,0,4,0,1,2,0,0,4,4,0,3,8,1,1,0,1,2,3,2,2,139
2020-12-23,0,2,2,1,10,1,1,2,0,0,0,3,5,0,13,0,1,0,6,2,2,6,28,0,0,0,1,1,0,1,0,1,0,2,0,1,0,0,1,10,2,0,0,0,1,6,0,8,120
2020-12-24,0,3,5,1,14,9,3,1,7,4,0,4,7,0,18,0,2,0,5,7,3,12,78,0,0,0,11,3,0,7,0,1,1,3,0,2,5,1,5,22,3,3,0,2,5,15,4,15,291
2020-12-25,2,3,1,6,12,21,8,2,9,12,0,15,4,0,4,1,0,1,2,3,4,16,117,0,0,0,7,1,0,5,1,1,1,3,0,6,4,1,9,10,3,5,2,11,8,25,3,14,363
2020-12-26,1,1,9,5,17,8,2,6,5,6,0,6,5,0,21,0,1,0,8,1,6,11,78,0,2,0,5,3,0,3,0,3,1,3,0,2,5,1,0,28,1,2,0,4,4,14,2,4,284
2020-12-27,3,2,1,3,19,9,3,7,6,10,0,5,7,0,6,0,0,2,4,2,2,16,73,2,1,0,10,1,0,2,0,1,2,1,0,1,5,0,4,11,4,3,1,3,4,7,5,6,254
