,Bastiglia,Bomporto,Campogalliano,Camposanto,Carpi,Castelfranco E.,Castelnuovo R.,Castelvetro,Cavezzo,Concordia,Fanano,Finale Emilia,Fiorano M.,Fiumalbo,Formigine,Frassinoro,Guiglia,Lama Mocogno,Maranello,Marano,Medolla,Mirandola,Modena,Montefiorino,Montese,Nonantola,Novi,Palagano,Pavullo,Pievepelago,Prignano,Polinago,Ravarino,San Cesario S/P,San Felice S/P,San Possidonio,San Prospero,Sassuolo,Savignano S/P,Serramazzoni,Sestola,Soliera,Spilamberto,Vignola,Zocca,Fuori provincia,TOTALE,Montecreto,Riolunato
2020-10-23,4.0,4.0,5.0,0.0,52.0,26.0,7.0,2.0,3.0,5.0,0.0,13.0,7.0,0.0,19.0,1.0,18.0,1.0,9.0,4.0,4.0,6.0,215.0,0.0,0.0,12.0,3.0,1.0,13.0,0.0,1.0,0.0,5.0,7.0,7.0,0.0,13.0,38.0,4.0,3.0,0.0,6.0,4.0,15.0,5.0,34.0,576.0,0.0,0.0
2020-10-24,4.0,5.0,7.0,0.0,45.0,26.0,7.0,3.0,3.0,8.0,0.0,13.0,8.0,0.0,20.0,1.0,20.0,2.0,8.0,6.0,6.0,8.0,226.0,0.0,0.0,13.0,4.0,1.0,18.0,0.0,1.0,0.0,6.0,6.0,7.0,0.0,21.0,34.0,6.0,4.0,0.0,8.0,6.0,17.0,4.0,36.0,618.0,0.0,0.0
2020-10-25,3.0,9.0,8.0,1.0,43.0,34.0,10.0,4.0,8.0,8.0,0.0,23.0,9.0,0.0,31.0,1.0,21.0,2.0,9.0,6.0,9.0,8.0,244.0,0.0,0.0,12.0,4.0,2.0,17.0,0.0,1.0,0.0,6.0,5.0,9.0,0.0,24.0,38.0,7.0,4.0,0.0,9.0,8.0,20.0,4.0,38.0,699.0,0.0,0.0
2020-10-26,2.0,11.0,11.0,1.0,47.0,39.0,7.0,5.0,8.0,7.0,0.0,25.0,12.0,0.0,40.0,0.0,23.0,2.0,13.0,6.0,8.0,10.0,275.0,0.0,0.0,15.0,4.0,2.0,13.0,0.0,1.0,0.0,9.0,4.0,10.0,0.0,24.0,40.0,10.0,3.0,0.0,10.0,8.0,22.0,5.0,34.0,766.0,0.0,0.0
2020-10-27,2.0,12.0,11.0,3.0,59.0,43.0,18.0,16.0,9.0,9.0,0.0,24.0,12.0,0.0,47.0,0.0,25.0,2.0,15.0,14.0,7.0,18.0,337.0,0.0,0.0,24.0,6.0,2.0,18.0,1.0,2.0,0.0,10.0,7.0,7.0,0.0,25.0,43.0,20.0,2.0,0.0,11.0,17.0,35.0,6.0,40.0,959.0,0.0,0.0
2020-10-28,2.0,14.0,14.0,3.0,73.0,43.0,23.0,16.0,13.0,12.0,0.0,25.0,12.0,0.0,52.0,0.0,28.0,2.0,18.0,13.0,7.0,22.0,427.0,0.0,0.0,31.0,11.0,2.0,30.0,2.0,3.0,1.0,9.0,9.0,9.0,0.0,23.0,54.0,21.0,7.0,1.0,15.0,21.0,41.0,2.0,49.0,1160.0,0.0,0.0
2020-10-29,3.0,21.0,15.0,6.0,88.0,52.0,25.0,19.0,18.0,15.0,3.0,22.0,13.0,0.0,60.0,0.0,27.0,2.0,21.0,12.0,8.0,27.0,511.0,1.0,0.0,35.0,11.0,2.0,31.0,2.0,3.0,1.0,10.0,15.0,12.0,1.0,27.0,60.0,21.0,10.0,1.0,18.0,22.0,43.0,2.0,63.0,1359.0,0.0,0.0
2020-10-30,5.0,22.0,16.0,6.0,151.0,60.0,33.0,21.0,19.0,16.0,3.0,24.0,22.0,0.0,81.0,2.0,12.0,2.0,32.0,13.0,9.0,29.0,585.0,1.0,1.0,36.0,17.0,1.0,40.0,2.0,4.0,1.0,16.0,17.0,13.0,1.0,25.0,83.0,20.0,10.0,1.0,19.0,28.0,48.0,2.0,86.0,1635.0,0.0,0.0
2020-10-31,6.0,24.0,17.0,9.0,178.0,65.0,41.0,23.0,20.0,15.0,3.0,24.0,23.0,0.0,87.0,2.0,11.0,2.0,34.0,18.0,9.0,34.0,633.0,1.0,3.0,41.0,24.0,1.0,40.0,5.0,6.0,1.0,19.0,22.0,15.0,4.0,16.0,100.0,26.0,11.0,2.0,18.0,34.0,61.0,2.0,103.0,1834.0,0.0,1.0
2020-11-01,6.0,23.0,23.0,8.0,213.0,58.0,41.0,23.0,24.0,13.0,3.0,25.0,26.0,0.0,79.0,4.0,10.0,2.0,37.0,18.0,8.0,41.0,715.0,1.0,3.0,46.0,30.0,0.0,47.0,5.0,6.0,1.0,23.0,22.0,15.0,5.0,19.0,127.0,24.0,12.0,2.0,22.0,32.0,58.0,3.0,111.0,2015.0,0.0,1.0
